LIPID_ID,IL_SMILES,IL_head_id,IL_head_SMILES,Tail1_id,Tail1_SMILES,Tail2_id,Tail2_SMILES,Tail3_id,Tail3_SMILES,Tail4_id,Tail4_SMILES,Active_Site_Class,N_Tails,ARCHITECTURE,REACTION_TYP
LNPhub_3V00000031,CCCCCCCCCCCCCCCCCCCCCCOC(=O)CCN(CCCC)c1ccc(S(=O)(=O)N2CCCC2)cc1N(CCC(=O)OCCCCCCCCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCCCCCCCCC,M1880,CCCCNc1ccc(S(=O)(=O)N2CCCC2)cc1N,O22,C=CC(=O)OCCCCCCCCCCCCCCCCCCCCCC,O21,C=CC(=O)OCCCCCCCCCCCCCCCCCCCCC,O21,C=CC(=O)OCCCCCCCCCCCCCCCCCCCCC,,,PRIMARY_SECONDARY,3.0,ARCH_HEAD_3_TAILS,AZA_MICHAEL_ADDITION
LNPhub_3V00000032,CCCCCCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCCCCCC)c1cc(F)cc(N(CCC(=O)OCCCCCCCCCCCCCCCCCC)CC(F)(F)F)c1,M519,Nc1cc(F)cc(NCC(F)(F)F)c1,O20,C=CC(=O)OCCCCCCCCCCCCCCCCCCCC,O20,C=CC(=O)OCCCCCCCCCCCCCCCCCCCC,O18,C=CC(=O)OCCCCCCCCCCCCCCCCCC,,,PRIMARY_SECONDARY,3.0,ARCH_HEAD_3_TAILS,AZA_MICHAEL_ADDITION
LNPhub_3V00000033,CCCCCCCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCCCCCCC)c1ccccc1CN(CCC(=O)OCCCCCCCCCCCCCCCCCCCCC)[C@H]1CC[C@H](O)CC1,M1169,Nc1ccccc1CN[C@H]1CC[C@H](O)CC1,O21,C=CC(=O)OCCCCCCCCCCCCCCCCCCCCC,O21,C=CC(=O)OCCCCCCCCCCCCCCCCCCCCC,O21,C=CC(=O)OCCCCCCCCCCCCCCCCCCCCC,,,PRIMARY_SECONDARY,3.0,ARCH_HEAD_3_TAILS,AZA_MICHAEL_ADDITION
LNPhub_3V00000034,CCCCCCCCCCCCCCCCOC(=O)CCN(CCN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC)c1ncccc1C(F)(F)F,M1689,NCCNc1ncccc1C(F)(F)F,O10,C=CC(=O)OCCCCCCCCCC,O10,C=CC(=O)OCCCCCCCCCC,O16,C=CC(=O)OCCCCCCCCCCCCCCCC,,,PRIMARY_SECONDARY,3.0,ARCH_HEAD_3_TAILS,AZA_MICHAEL_ADDITION
LNPhub_3V00000035,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)c1ccnc(CN(C)C2CCCN(CCC(=O)OCCCCCCC)CC2)n1,M1882,CN(Cc1nccc(N)n1)C1CCCNCC1,O14,C=CC(=O)OCCCCCCCCCCCCCC,O14,C=CC(=O)OCCCCCCCCCCCCCC,O7,C=CC(=O)OCCCCCCC,,,PRIMARY_SECONDARY,3.0,ARCH_HEAD_3_TAILS,AZA_MICHAEL_ADDITION
LNPhub_3V00000036,CCCCCCCCCCCCCCCCCCCCCCOC(=O)CCN(CCCc1nc2cc(N(CCC(=O)OCCCCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCCCCC)ccc2[nH]1)CCC(=O)OCCCCCCCCCCCCCCCCCCCCCC,M1748,NCCCc1nc2cc(N)ccc2[nH]1,O22,C=CC(=O)OCCCCCCCCCCCCCCCCCCCCCC,O22,C=CC(=O)OCCCCCCCCCCCCCCCCCCCCCC,O17,C=CC(=O)OCCCCCCCCCCCCCCCCC,O17,C=CC(=O)OCCCCCCCCCCCCCCCCC,PRIMARY_PRIMARY,4.0,ARCH_HEAD_4_TAILS,AZA_MICHAEL_ADDITION
LNPhub_3V00000037,CCCCCCCCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCCCCCCCC)c1c(N(CCC(=O)OCCCCCCCC)Cc2ccco2)c(=O)[nH]c(=O)n1CCCC,M126,CCCCn1c(N)c(NCc2ccco2)c(=O)[nH]c1=O,O22,C=CC(=O)OCCCCCCCCCCCCCCCCCCCCCC,O22,C=CC(=O)OCCCCCCCCCCCCCCCCCCCCCC,O8,C=CC(=O)OCCCCCCCC,,,PRIMARY_SECONDARY,3.0,ARCH_HEAD_3_TAILS,AZA_MICHAEL_ADDITION
LNPhub_3V00000038,CCCCCCCCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCCCCCCCC)CCN(CCC(=O)OCCCCC)Cc1c(C)cc(C(C)(C)C)cc1C,M1955,Cc1cc(C(C)(C)C)cc(C)c1CNCCN,O5,C=CC(=O)OCCCCC,O22,C=CC(=O)OCCCCCCCCCCCCCCCCCCCCCC,O22,C=CC(=O)OCCCCCCCCCCCCCCCCCCCCCC,,,PRIMARY_SECONDARY,3.0,ARCH_HEAD_3_TAILS,AZA_MICHAEL_ADDITION
LNPhub_3V00000039,CCCCCCCCCCCCCCCCCCCCCCOC(=O)CCN(CCCC)c1c(N(CCC(=O)OCCCCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCCCCC)n(CCC)c(=O)[nH]c1=O,M1644,CCCCNc1c(N)n(CCC)c(=O)[nH]c1=O,O22,C=CC(=O)OCCCCCCCCCCCCCCCCCCCCCC,O17,C=CC(=O)OCCCCCCCCCCCCCCCCC,O17,C=CC(=O)OCCCCCCCCCCCCCCCCC,,,PRIMARY_SECONDARY,3.0,ARCH_HEAD_3_TAILS,AZA_MICHAEL_ADDITION
LNPhub_3V00000040,CCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCC)CCN(CCC(=O)OCCCCCCCCCCCCCC)c1nc2ccccc2s1,M2173,NCCNc1nc2ccccc2s1,O16,C=CC(=O)OCCCCCCCCCCCCCCCC,O16,C=CC(=O)OCCCCCCCCCCCCCCCC,O14,C=CC(=O)OCCCCCCCCCCCCCC,,,PRIMARY_SECONDARY,3.0,ARCH_HEAD_3_TAILS,AZA_MICHAEL_ADDITION
