LIPID_ID,IL_SMILES,IL_head_id,IL_head_SMILES,Tail1_id,Tail1_SMILES,Tail2_id,Tail2_SMILES,ARCHITECTURE,REACTION_TYP
LNPhub_1V00000056,CCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCC(C)CCCCC)NCCN1CCCCC1,A14,NCCN1CCCCC1,B14,CCCCCC(C)CCC(=O)OCCCCCC=O,C6,[C-]#[N+]CCCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000057,CCCCCCCCCCCNC(=O)C(NC[C@H](NC(=O)OC(C)(C)C)C(=O)OC)c1c(OC(=O)CCC(C)CCCC)cc(OC(=O)CCC(C)CCCC)cc1OC(=O)CCC(C)CCCC,A602,COC(=O)[C@H](CN)NC(=O)OC(C)(C)C,B5,CCCCC(C)CCC(=O)Oc1cc(OC(=O)CCC(C)CCCC)c(C=O)c(OC(=O)CCC(C)CCCC)c1,C1,[C-]#[N+]CCCCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000058,CNC(=O)c1ccc(F)c(C(Nc2ccc(Cl)cc2O[Si](C)(C)C(C)(C)C)C(=O)NCCCN(C)C)c1F,A500,CC(C)(C)[Si](C)(C)Oc1cc(Cl)ccc1N,B43,CNC(=O)c1ccc(F)c(C=O)c1F,C9,[C-]#[N+]CCCN(C)C,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000059,CCCCCCCCCCCCCCCCNC(=O)C(NCc1c(F)c(C)cc(Br)c1F)c1cc(OC(=O)CCCCCCCCC)cc(OC(=O)CCCCCCCCC)c1,A674,Cc1cc(Br)c(F)c(CN)c1F,B26,CCCCCCCCCC(=O)Oc1cc(C=O)cc(OC(=O)CCCCCCCCC)c1,C3,[C-]#[N+]CCCCCCCCCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000060,CCCCCCCCCCCCCCCCNC(=O)C(NC1CCCC(N)C1)c1c(F)cncc1NC(=O)OC(C)(C)C,A163,NC1CCCC(N)C1,B66,CC(C)(C)OC(=O)Nc1cncc(F)c1C=O,C3,[C-]#[N+]CCCCCCCCCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000061,C#CC(NC(C(=O)NCCCCCCCCC=CCCCCCCCC)c1cccc(C(=O)NC)n1)c1ccc(NC(=O)OC(C)(C)C)cc1,A710,C#CC(N)c1ccc(NC(=O)OC(C)(C)C)cc1,B111,CNC(=O)c1cccc(C=O)n1,C4,[C-]#[N+]CCCCCCCCC=CCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000062,CCCCCCCCC=CCCCCCCCCNC(=O)C(N[C@H](Cc1ccc(N=[N+]=[N-])cc1F)C(=O)OC)c1ccsn1,A700,COC(=O)[C@@H](N)Cc1ccc(N=[N+]=[N-])cc1F,B156,O=Cc1ccsn1,C4,[C-]#[N+]CCCCCCCCC=CCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000063,CCCCCCCCCCCCCCCCCCNC(=O)C(N[C@@H](CO)CC(C)C)c1ccc(Cl)cc1C(N)=O,A90,CC(C)C[C@H](N)CO,B55,NC(=O)c1cc(Cl)ccc1C=O,C2,[C-]#[N+]CCCCCCCCCCCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000064,CCCCCCCCCCCCCCNC(=O)C(Nc1ccccc1NC)C1(C(=O)OC)CCCO1,A83,CNc1ccccc1N,B202,COC(=O)C1(C=O)CCCO1,C7,[C-]#[N+]CCCCCCCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000065,CCCCCCCCCCCCCCNC(=O)C(CC1CCCCO1)NCCCN,A77,NCCCN,B164,O=CCC1CCCCO1,C7,[C-]#[N+]CCCCCCCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
